title,year,rating,votes,popularity,genres,language,description,adult,movie_id
The Quintessential Quintuplets Movie,2022,8.3,424,4.3223,"Animation, Comedy, Romance",ja,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",False,820067
Ikiru,1952,8.309,1258,4.9869,Drama,ja,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",False,3782
Dou kyu sei – Classmates,2016,8.3,420,4.265,"Romance, Animation",ja,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",False,372754
Dead Poets Society,1989,8.3,12068,9.6684,Drama,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",False,207
Léon: The Professional,1994,8.299,15591,11.5362,"Crime, Drama, Action",fr,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",False,101
Perfect Blue,1998,8.297,2991,7.1247,"Animation, Thriller",ja,"Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",False,10494
A Brighter Summer Day,1991,8.3,363,5.0057,"Crime, Drama, Romance",zh,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",False,15804
"Josee, the Tiger and the Fish",2020,8.291,552,4.776,"Animation, Drama, Romance",ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",False,652837
The Great Dictator,1940,8.3,3566,1.9281,"Comedy, War",en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,False,914
Sunset Boulevard,1950,8.287,2795,2.815,Drama,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,False,599
Dedicated to my ex,2019,8.3,513,2.2551,"Drama, Comedy",es,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",False,644479
Once Upon a Studio,2023,8.285,407,4.3021,"Animation, Family, Fantasy, Comedy",en,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",False,1139087
Violet Evergarden: The Movie,2020,8.283,470,5.8026,"Animation, Fantasy, Romance, Drama",ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",False,533514
We All Loved Each Other So Much,1974,8.3,625,2.82,"Drama, Comedy",it,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",False,42269
Modern Times,1936,8.3,3925,2.0739,"Comedy, Drama, Romance",en,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",False,3082
Once Upon a Time in the West,1968,8.281,4691,8.831,"Drama, Western",it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",False,335
The Forge,2024,8.278,308,3.0427,"Drama, Family",en,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",False,1186532
It's a Wonderful Life,1946,8.3,4658,10.0819,"Drama, Family, Fantasy",en,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",False,1585
The Intouchables,2011,8.271,17982,7.9877,"Drama, Comedy",fr,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,False,77338
Apocalypse Now,1979,8.271,8751,7.6897,"Drama, War",en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",False,28
Counterattack,2025,8.269,767,8.0757,"Action, Adventure, Thriller",es,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",False,1356039
Hotarubi no Mori e,2011,8.269,1180,0.0053,"Romance, Animation, Fantasy",ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",False,92321
Neon Genesis Evangelion: The End of Evangelion,1997,8.265,1749,5.9349,"Animation, Science Fiction, Drama, Fantasy",ja,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",False,18491
Given,2020,8.3,409,3.8446,"Animation, Drama, Music, Romance",ja,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",False,632632
Paths of Glory,1957,8.3,3138,4.3897,"War, Drama",en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,False,975
City Lights,1931,8.3,2353,2.1391,"Comedy, Drama, Romance",en,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,False,901
Miracle in Cell No. 7,2019,8.256,4498,5.1843,Drama,tr,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",False,637920
The Lion King,1994,8.256,19177,14.4922,"Family, Animation, Drama, Adventure",en,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",False,8587
Le Trou,1960,8.3,531,5.1787,"Drama, Thriller, Crime",fr,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",False,29259
The Legend of 1900,1998,8.247,2366,6.9879,"Drama, Music",it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",False,10376
Oldboy,2003,8.246,9376,9.8842,"Drama, Thriller, Mystery, Action",ko,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",False,670
Rascal Does Not Dream of a Dreaming Girl,2019,8.242,569,4.6303,"Animation, Romance, Drama, Fantasy",ja,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",False,572154
I Want to Eat Your Pancreas,2018,8.242,1687,6.1216,"Animation, Drama, Romance",ja,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",False,504253
Clouds,2020,8.24,1037,4.6721,"Music, Drama, Romance",en,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",False,630566
Life in a Year,2020,8.24,1943,6.0029,"Drama, Romance",en,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",False,447362
Avengers: Endgame,2019,8.238,26964,13.5434,"Adventure, Science Fiction, Action",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",False,299534
Avengers: Infinity War,2018,8.236,31177,20.7668,"Adventure, Action, Science Fiction",en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",False,299536
The Matrix,1999,8.2,27047,18.8926,"Action, Science Fiction",en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",False,603
Klaus,2019,8.2,4408,7.7705,"Animation, Family, Adventure, Comedy, Fantasy",en,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",False,508965
Five Feet Apart,2019,8.226,5813,8.1005,"Romance, Drama",en,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",False,527641
Out of the Clear Blue Sky,2019,8.225,364,2.4373,"Comedy, Drama, Music",es,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",False,654299
Green Book,2018,8.225,12400,9.1236,"Drama, Comedy, History",en,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",False,490132
Taylor Swift: Reputation Stadium Tour,2018,8.224,415,3.3663,Music,en,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",False,568332
Come and See,1985,8.2,1701,4.6068,"Drama, War",ru,"The invasion of a village in Belarus by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",False,25237
Saving Private Ryan,1998,8.221,16675,11.4772,"War, Drama, History",en,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",False,857
Gladiator,2000,8.2,20256,14.7427,"Action, Drama, Adventure",en,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",False,98
Il Sorpasso,1962,8.22,814,4.6273,"Drama, Comedy, Adventure",it,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",False,24188
"The Boy, the Mole, the Fox and the Horse",2022,8.217,672,4.7106,"Animation, Family, Adventure, Fantasy",en,"The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",False,995133
